name,symbol,cap,market
한화시스템,272210,12180,kospi
라파스,214260,1331,kosdaq
아이티엠반도체,084850,7977,kosdaq
미래에셋대우스팩4호,333430,88,kosdaq
자이에스앤디,317400,1553,kospi
미디어젠,279600,396,kosdaq
하나금융14호스팩,332710,89,kosdaq
신한제6호스팩,333050,101,kosdaq
티라유텍,322180,1030,kosdaq
롯데리츠,330590,11264,kospi
지누스,013890,12886,kospi
교보9호스팩,331520,78,kosdaq
캐리소프트,317530,568,kosdaq
한국미라클피플사,331660,199,konex
케이엔제이,272110,646,kosdaq
엔바이오니아,317870,660,kosdaq
팜스빌,318010,900,kosdaq
두산솔루스,336370,6091,kospi
두산퓨얼셀,336260,4426,kospi
라온피플,300120,1756,kosdaq
제이콘텐트리,036420,5431,kospi
아톤,158430,1619,kosdaq
녹십자웰빙,234690,1793,kosdaq
대신밸런스제7호스팩,332290,105,kosdaq
유진스팩5호,331380,82,kosdaq
엔지브이아이,093510,37,konex
케이비제19호스팩,330990,88,kosdaq
올리패스,244460,3132,kosdaq
라닉스,317120,698,kosdaq
하나금융13호스팩,320000,70,kosdaq
한독크린텍,256150,684,kosdaq
아퓨어스,149300,530,konex
상상인이안제2호스팩,329560,78,kosdaq
네오크레마,311390,776,kosdaq
마니커에프앤지,195500,921,kosdaq
미래에셋대우스팩3호,328380,132,kosdaq
나노브릭,286750,490,kosdaq
에스피시스템스,317830,563,kosdaq
레이,228670,2458,kosdaq
그린플러스,186230,527,kosdaq
케어룸의료산업,327970,130,konex
코윈테크,282880,2357,kosdaq
덕산테코피아,317330,3326,kosdaq
슈프리마아이디,317770,584,kosdaq
한국바이오젠,318000,631,kosdaq
세경하이테크,148150,3368,kosdaq
윌링스,313760,627,kosdaq
대모,317850,585,kosdaq
에이스토리,241840,924,kosdaq
플리토,300080,1125,kosdaq
이베스트이안스팩1호,323210,66,kosdaq
구스앤홈,329050,172,konex
세틀뱅크,234340,2979,kosdaq
아이스크림에듀,289010,1006,kosdaq
펨토바이오메드,327610,630,konex
펌텍코리아,251970,2362,kosdaq
에이에프더블류,312610,1388,kosdaq
티티씨디펜스,309900,599,konex
신영스팩5호,323280,73,kosdaq
케이비제18호스팩,323940,159,kosdaq
신한제5호스팩,323230,89,kosdaq
압타바이오,293780,2002,kosdaq
까스텔바작,308100,696,kosdaq
마이크로디지탈,305090,577,kosdaq
원바이오젠,278380,184,konex
DB금융스팩7호,322780,94,kosdaq
유진스팩4호,321260,72,kosdaq
포스코케미칼,003670,28573,kospi
수젠텍,253840,818,kosdaq
컴퍼니케이,307930,1380,kosdaq
다원넥스뷰,323350,131,konex
피에스케이,319660,2517,kosdaq
엔에이치스팩14호,319400,177,kosdaq
SNK,950180,3939,kosdaq
한화에스비아이스팩,317320,139,kosdaq
하이제4호스팩,317240,91,kosdaq
이노벡스,279060,88,konex
아모그린텍,125210,1399,kosdaq
현대오토에버,307950,1710,kospi
지노믹트리,228760,4277,kosdaq
케이비17호스팩,317030,114,kosdaq
이지케어텍,099750,1089,kosdaq
유안타제4호스팩,313750,95,kosdaq
미래에셋벤처투자,100790,1492,kosdaq
드림텍,192650,4266,kospi
더블유게임즈,192080,8975,kospi
에코프로비엠,247540,172,kosdaq
셀리드,299660,2487,kosdaq
우리금융지주,316140,86311,kospi
천보,278280,5870,kosdaq
이노테라피,246960,714,kosdaq
노랑풍선,104620,779,kosdaq
웹케시,053580,2841,kosdaq
엘에이티,311060,104,konex
대원모방,311840,368,konex
에어부산,298690,4009,kospi
비피도,238200,1129,kosdaq
지놈앤컴퍼니,314130,2731,konex
키움제5호스팩,311270,74,kosdaq
엔에이치스팩13호,310840,71,kosdaq
유틸렉스,263050,4498,kosdaq
디케이티,290550,1074,kosdaq
미래에셋대우스팩2호,310200,63,kosdaq
신영스팩4호,307180,99,kosdaq
테크엔,308700,74,konex
삼성머스트스팩3호,309930,96,kosdaq
위지윅스튜디오,299900,1525,kosdaq
한국제8호스팩,310870,72,kosdaq
대신밸런스제6호스팩,307750,103,kosdaq
에이비엘바이오,298380,9332,kosdaq
프로테옴텍,303360,591,konex
머큐리,100590,1335,kosdaq
전진바이오팜,110020,392,kosdaq
뉴트리,270870,1368,kosdaq
상상인이안1호스팩,307870,98,kosdaq
이노메트리,302430,1469,kosdaq
SK4호스팩,307070,106,kosdaq
대유에이피,290120,946,kosdaq
교보8호스팩,307280,80,kosdaq
에코캡,128540,453,kosdaq
베스파,299910,1271,kosdaq
비엔에프코퍼레이션,271780,51,konex
윙입푸드,900340,883,kosdaq
하나머스트제6호스팩,307160,96,kosdaq
남화산업,111710,3006,kosdaq
엠아이텍,179290,1351,kosdaq
티로보틱스,117730,591,kosdaq
네오펙트,290660,597,kosdaq
에이펙스인텍,207490,491,konex
티앤알바이오팹,246710,876,kosdaq
나라소프트,288490,116,konex
아시아나IDT,267850,2797,kospi
디알젬,263690,951,kosdaq
싸이토젠,217330,668,kosdaq
아주IB투자,027360,1383,kosdaq
파멥신,208340,2958,kosdaq
디케이앤디,263020,488,kosdaq
아이엘사이언스,122050,340,konex
디자인,227100,258,kosdaq
노바렉스,194700,1949,kosdaq
셀리버리,268600,4770,kosdaq
대보마그네틱,290670,795,kosdaq
노바텍,285490,786,kosdaq
엘앤씨바이오,290650,1671,kosdaq
DB금융스팩6호,306620,98,kosdaq
로보티즈,108490,1288,kosdaq
옵티팜,153710,1331,kosdaq
에스퓨얼셀,288620,1091,kosdaq
세아제강,306200,1736,kospi
나우아이비캐피탈,293580,430,kosdaq
푸드나무,290720,1143,kosdaq
하나제약,293480,3734,kospi
크리스에프앤씨,110790,2296,kosdaq
IBKS제10호스팩,299170,89,kosdaq
지티지웰니스,219750,445,kosdaq
우진아이엔에스,010400,636,kospi
명성티엔에스,257370,870,kosdaq
삼성스팩2호,291230,155,kosdaq
엔솔바이오사이언스,140610,788,konex
디지캡,197140,339,kosdaq
지니틱스,303030,992,kosdaq
액트로,290740,1214,kosdaq
오파스넷,173130,260,kosdaq
에이피티씨,089970,1473,kosdaq
바이오솔루션,086820,2788,kosdaq
리메드,302550,958,konex
더콘텐츠온,302920,556,konex
대유,290380,1100,kosdaq
신한알파리츠,293940,4020,kospi
디아이티,110990,1606,kosdaq
에스에스알,275630,381,kosdaq
한일시멘트,300720,4095,kospi
휴네시온,290270,509,kosdaq
티웨이항공,091810,2485,kospi
롯데정보통신,286940,6936,kospi
한국유니온제약,080720,841,kosdaq
그리티,204020,608,kosdaq
알로이스,297570,434,kosdaq
올릭스,226950,2606,kosdaq
테크트랜스,258050,144,konex
효성중공업,298040,2541,kospi
효성첨단소재,298050,4883,kospi
효성티앤씨,298020,7141,kospi
효성화학,298000,4929,kospi
아이큐어,175250,2001,kosdaq
SV인베스트먼트,289080,1001,kosdaq
엘리비젼,276240,27,konex
지앤이헬스케어,299480,200,konex
이리츠코크렙,088260,4611,kospi
EDGC,245620,2105,kosdaq
에스엠비나,299670,185,konex
HDC현대산업개발,294870,12720,kospi
하나금융11호스팩,284620,113,kosdaq
파워넷,037030,534,kosdaq
현대사료,016790,830,kosdaq
세종메디칼,258830,569,kosdaq
제노레이,122310,1100,kosdaq
디피코,163430,82,konex
한국제7호스팩,291210,103,kosdaq
다이노나,086080,824,konex
유안타제3호스팩,287410,88,kosdaq
에스제이켐,217910,43,konex
JTC,950170,2828,kosdaq
네오셈,253590,475,kosdaq
위세아이텍,065370,340,konex
케어랩스,263700,980,kosdaq
애경산업,018250,7685,kospi
에코마이스터,064510,686,kosdaq
린드먼아시아,277070,558,kosdaq
오스테오닉,226400,261,kosdaq
엔지켐생명과학,183490,4786,kosdaq
동구바이오제약,006620,1599,kosdaq
아시아종묘,154030,545,kosdaq
알리코제약,260660,1492,kosdaq
셀트리온,068270,237422,kospi
카페24,042000,5064,kosdaq
링크제니시스,219420,843,kosdaq
배럴,267790,930,kosdaq
SG,255220,929,kosdaq
씨앤지하이테크,264660,674,kosdaq
쿠쿠홈시스,284740,8952,kospi
SK케미칼,285130,6317,kospi
시스웍,269620,450,kosdaq
TS트릴리온,284610,751,konex
라이프사이언스테크놀로지,285770,96,konex
한국제6호스팩,281410,93,kosdaq
디바이스이엔지,187870,695,kosdaq
바이오시네틱스,281310,188,konex
씨알푸드,236030,297,konex
동부스팩5호,281740,112,kosdaq
휴럼,284420,309,konex
BGF리테일,282330,31111,kospi
동양피스톤,092780,629,kospi
진에어,272450,4590,kospi
씨티케이코스메틱스,260930,1361,kosdaq
메카로,241770,1330,kosdaq
에스트래픽,234300,895,kosdaq
케이씨텍,281820,3641,kospi
체리부로,066360,768,kosdaq
대원,007680,1359,kosdaq
비즈니스온,138580,1422,kosdaq
동아타이어,282690,1682,kospi
삼양패키징,272550,2309,kospi
한화에이스스팩4호,279410,72,kosdaq
스튜디오드래곤,253450,22139,kosdaq
IBKS제7호스팩,276920,76,kosdaq
비디아이,148140,658,kosdaq
코오롱티슈진,950160,4896,kosdaq
테이팩스,055490,1052,kospi
파인이엠텍,278990,163,konex
롯데제과,280360,9112,kospi
티에스아이,277880,1359,konex
탑선,180060,993,konex
영화테크,265560,615,kosdaq
세원,234100,701,kosdaq
신한제4호스팩,277480,124,kosdaq
상신전자,263810,469,kosdaq
야스,255440,2762,kosdaq
인산가,277410,498,kosdaq
블러썸엠앤씨,263920,773,kosdaq
신흥에스이씨,243840,2323,kosdaq
유티아이,179900,2816,kosdaq
선익시스템,171090,739,kosdaq
엠플러스,259630,842,kosdaq
앱클론,174900,2827,kosdaq
샘코,263540,651,kosdaq
펄어비스,263750,26554,kosdaq
두원석재,270020,81,konex
케이피에스,256940,649,kosdaq
시그넷이브이,260870,447,konex
덕우전자,263600,1163,kosdaq
명진홀딩스,267060,195,konex
이더블유케이,258610,797,kosdaq
하나금융10호스팩,270520,103,kosdaq
알에스오토메이션,140670,892,kosdaq
컬러레이,900310,1072,kosdaq
엔에이치스팩12호,273060,155,kosdaq
모트렉스,118990,880,kosdaq
데이타솔루션,263800,643,kosdaq
지니언스,263860,436,kosdaq
디앤씨미디어,263720,1764,kosdaq
셀트리온헬스케어,091990,75130,kosdaq
이즈미디어,181340,380,kosdaq
루켄테크놀러지스,162120,97,konex
에브리봇,270660,75,konex
한국제5호스팩,271740,82,kosdaq
힘스,238490,1389,kosdaq
제일약품,271980,5058,kospi
브이원텍,251630,1350,kosdaq
아우딘퓨쳐스,227610,839,kosdaq
이녹스첨단소재,272290,5106,kosdaq
카카오,035720,128781,kospi
오리온,271560,42501,kospi
하림지주,003380,8310,kosdaq
메디안디노스틱,233250,716,konex
하나금융9호스팩,261200,90,kosdaq
교보7호스팩,267320,97,kosdaq
다이오진,271850,36,konex
에스알바이오텍,270210,25,konex
앤유엔터테인먼트,266170,155,konex
보라티알,250000,746,kosdaq
한화수성스팩,265920,91,kosdaq
매일유업,267980,7028,kosdaq
삼양옵틱스,225190,1305,kosdaq
IBKS제6호스팩,264850,88,kosdaq
필옵틱스,161580,1547,kosdaq
미래에셋대우스팩1호,265480,99,kosdaq
SGA임베디드,224880,147,konex
미원에스씨,268280,3777,kospi
경동도시가스,267290,1271,kospi
넷마블,251270,75796,kospi
오렌지라이프,079440,23534,kospi
현대건설기계,267270,5694,kospi
현대일렉트릭,267260,1832,kospi
